DistrictId,Rooms,Square,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Social_1,Social_3,Helthcare_2,Shops_1,Price
35,2.0,47.981561235175036,6.0,7,9.0,1969,0.089039719,33,5,0,11,184966.9307298416
41,3.0,65.68363987232783,8.0,7,9.0,1978,6.99893e-05,46,1,1,16,300009.4500627274
53,2.0,44.947952764125006,0.0,8,12.0,1968,0.049637257,34,0,1,3,220925.90852358093
58,2.0,53.352981355613345,9.0,8,17.0,1977,0.43788524,23,3,0,5,175616.22721724625
99,1.0,39.649191950029994,7.0,11,12.0,1976,0.012338886,35,1,2,4,150226.5316437466
59,3.0,80.38447920267191,12.0,5,17.0,2011,0.309479124,35,4,0,6,215898.44774214894
154,2.0,62.254113586402504,7.0,3,5.0,1960,0.460556389,20,14,1,5,296021.2043771131
74,2.0,80.31292563185586,0.0,14,14.0,1977,0.075778755,6,3,0,2,221244.15666358554
1,2.0,64.51143730838427,1.0,9,17.0,1977,0.007122317,1,0,0,1,229102.7959994131
23,1.0,46.46140869718414,8.0,13,17.0,2014,0.075778755,6,3,0,2,95380.22099316985
28,2.0,46.30490677332586,6.0,8,9.0,1973,0.118537385,30,1,1,0,204243.55312879704
31,3.0,68.80885909839964,7.0,1,8.0,1959,0.0,23,2,0,4,165534.5414246522
13,2.0,54.5228049029371,1.0,8,12.0,1999,0.090799103,74,2,5,15,229220.37260914012
57,3.0,68.10273923286483,8.0,6,12.0,1980,0.13321533300000002,49,3,3,4,252481.9083226248
27,1.0,53.769097136525275,1.0,5,5.0,1977,0.072157581,2,1,0,0,140647.56593684404
85,3.0,73.6122247317727,6.0,4,9.0,1979,0.037177818,52,1,1,7,89084.32787608178
27,2.0,49.36064780032354,5.0,6,6.0,1983,0.051815435,5,0,0,0,117000.38128669599
34,2.0,57.969964222530145,9.0,6,14.0,2001,0.069753361,53,4,1,11,231828.43766693235
57,1.0,44.51348081256669,8.0,6,12.0,1983,0.13321533300000002,49,3,3,4,183743.23046424173
19,3.0,110.95979224728356,11.0,16,25.0,2012,0.000991363,33,3,1,9,394895.32598680095
0,3.0,103.60529197422831,10.0,12,17.0,2002,0.319809354,25,16,5,8,521919.0573998705
27,2.0,64.71183493873933,1.0,15,15.0,1977,0.211401214,9,0,0,1,127200.02651097006
48,1.0,41.668649656506325,10.0,19,22.0,1996,0.041124634,46,5,1,10,215083.96905610108
54,3.0,118.90761184257369,0.0,2,2.0,1977,0.006076152,30,0,6,6,571069.0526003882
